T° Ambiental (°C) BRUTO,Velocidad del viento (KM/H),T° Ambiental (°C),Valor de tipo de suelo,Tipo de Suelo,PH Agua,PH Suelo,Humedad Suelo (%),Humedad Suelo Deseada (%),T° Suelo (°C),T° Suelo Deseada (°C),Análisis,Análisis valor
19,84,"-12,96195006",3,Arenoso,2,9,"5,5",30,25,6,Desactivar Riego,0
13,24,"3,868014269",3,Arenoso,9,7,19,30,9,17,Activar Riego,1
12,81,"-18,82045184",5,Mixto,1,11,"5,6",50,3,23,Activar Riego,1
8,57,"-13,68846611",3,Arenoso,13,3,"11,8",30,5,17,Activar Riego,1
12,26,"2,107015458","4,5",Pedregosos,12,1,"5,5",45,1,25,Activar Riego,1
24,33,"11,44351962","4,5",Pedregosos,10,14,"63,1",45,11,25,Desactivar Riego,0
27,82,"-4,200951249",5,Mixto,12,9,"54,1",50,14,23,Desactivar Riego,0
33,14,"27,67300832","4,1",Calizos,2,6,"5,02",41,5,20,Activar Riego,1
9,65,"-15,73246136",3,Arenoso,1,8,"2,5",30,9,17,Activar Riego,1
21,4,"19,47800238","2,5",Arcillosos,7,13,"22,85",25,14,27,Activar Riego,1
9,38,"-5,458977408",7,Humíferos,12,1,"8,5",70,3,15,Activar Riego,1
26,79,"-4,059453032",3,Arenoso,2,4,"2,5",30,14,17,Activar Riego,1
38,9,"34,57550535",7,Humíferos,9,5,"31,6",70,1,15,Activar Riego,1
-2,42,"-17,98097503",3,Arenoso,2,1,"0,7",30,18,17,Desactivar Riego,0
20,65,"-4,732461356",7,Humíferos,13,6,"54,7",70,6,15,Activar Riego,1
34,81,"3,179548157","4,1",Calizos,5,0,"0,1",41,11,20,Activar Riego,1
12,61,"-11,21046373","2,5",Arcillosos,9,1,"2,35",25,24,27,Activar Riego,1
29,66,"3,887039239",7,Humíferos,12,14,"117,7",70,11,15,Desactivar Riego,0
22,37,"7,921521998",5,Mixto,7,1,"3,6",50,20,23,Activar Riego,1
25,2,"24,23900119",3,Arenoso,13,11,43,30,15,17,Desactivar Riego,0
10,56,"-11,30796671",3,Arenoso,13,6,"23,5",30,24,17,Desactivar Riego,0
34,82,"2,799048751",7,Humíferos,9,7,"44,2",70,7,15,Activar Riego,1
17,74,"-11,156956","4,1",Calizos,6,9,"22,24",41,17,20,Activar Riego,1
12,6,"9,717003567","2,5",Arcillosos,6,13,"19,6",25,18,27,Activar Riego,1
2,81,"-28,82045184",7,Humíferos,7,8,"39,3",70,6,15,Activar Riego,1
12,50,"-7,024970273","2,5",Arcillosos,0,3,"0,1",25,20,27,Activar Riego,1
0,67,"-25,49346017","4,5",Pedregosos,6,11,"29,8",45,7,25,Activar Riego,1
18,58,"-4,068965517","4,1",Calizos,11,1,"4,61",41,3,20,Activar Riego,1
-2,61,"-25,21046373",3,Arenoso,8,4,"9,7",30,9,17,Activar Riego,1
18,66,"-7,112960761","4,5",Pedregosos,5,0,"0,1",45,3,25,Activar Riego,1
34,0,34,3,Arenoso,3,5,"4,6",30,23,17,Desactivar Riego,0
12,51,"-7,405469679",7,Humíferos,5,4,"14,1",70,21,15,Desactivar Riego,0
7,0,7,"4,5",Pedregosos,0,12,"0,1",45,25,25,Desactivar Riego,0
13,88,"-20,48394768",5,Mixto,7,7,"24,6",50,9,23,Activar Riego,1
21,62,"-2,590963139",7,Humíferos,9,3,19,70,6,15,Activar Riego,1
28,30,"16,58501784","4,5",Pedregosos,3,13,"17,65",45,20,25,Activar Riego,1
30,60,"7,170035672",5,Mixto,9,3,"13,6",50,22,23,Activar Riego,1
21,48,"2,736028537","4,1",Calizos,3,6,"7,48",41,7,20,Activar Riego,1
36,25,"26,48751486","4,5",Pedregosos,13,9,"52,75",45,20,25,Desactivar Riego,0
7,33,"-5,55648038","4,1",Calizos,8,12,"39,46",41,19,20,Activar Riego,1
18,53,"-2,16646849","4,1",Calizos,4,4,"6,66",41,1,20,Activar Riego,1
3,65,"-21,73246136",3,Arenoso,1,13,4,30,8,17,Activar Riego,1
8,66,"-17,11296076","2,5",Arcillosos,14,11,"38,6",25,17,27,Desactivar Riego,0
25,79,"-5,059453032","2,5",Arcillosos,4,5,"5,1",25,15,27,Activar Riego,1
17,85,"-15,34244946","2,5",Arcillosos,8,14,"28,1",25,20,27,Desactivar Riego,0
40,56,"18,69203329","4,5",Pedregosos,4,3,"5,5",45,4,25,Activar Riego,1
-2,48,"-20,26397146",3,Arenoso,6,2,"3,7",30,25,17,Desactivar Riego,0
-1,53,"-21,16646849","2,5",Arcillosos,11,4,"11,1",25,22,27,Activar Riego,1
5,11,"0,8145065398",3,Arenoso,7,3,"6,4",30,9,17,Activar Riego,1
