T° Ambiental (°C) BRUTO,Velocidad del viento (KM/H),T° Ambiental (°C),Valor de tipo de suelo,Tipo de Suelo,PH Agua,PH Suelo,Humedad Suelo (%),Humedad Suelo Deseada (%),T° Suelo (°C),T° Suelo Deseada (°C),Análisis,Análisis valor
16,3,"14,85850178","4,1",Calizos,6,0,"0,1",41,4,"20,5",Activar Riego,1
19,62,"-4,590963139","2,5",Arcillosos,1,14,"3,6",25,18,27,Activar Riego,1
15,34,"2,063020214",5,Mixto,7,3,"10,6",50,5,23,Activar Riego,1
35,48,"16,73602854",5,Mixto,13,0,"0,1",50,17,23,Activar Riego,1
-2,54,"-22,5469679",5,Mixto,13,5,"32,6",50,16,23,Activar Riego,1
10,74,"-18,156956","2,5",Arcillosos,0,1,"0,1",25,18,27,Activar Riego,1
7,48,"-11,26397146",7,Humíferos,10,0,"0,1",70,0,15,Activar Riego,1
22,26,"12,10701546",5,Mixto,14,14,"98,1",50,12,23,Desactivar Riego,0
13,45,"-4,122473246",7,Humíferos,5,10,"35,1",70,23,15,Desactivar Riego,0
32,55,"11,0725327",7,Humíferos,7,4,"19,7",70,16,15,Desactivar Riego,0
-1,13,"-5,946492271",7,Humíferos,0,11,"0,1",70,17,15,Desactivar Riego,0
31,44,"14,25802616",5,Mixto,3,1,"1,6",50,5,23,Activar Riego,1
14,13,"9,053507729",5,Mixto,14,10,"70,1",50,10,23,Desactivar Riego,0
1,50,"-18,02497027","2,5",Arcillosos,10,11,"27,6",25,3,27,Desactivar Riego,0
33,86,"0,2770511296",7,Humíferos,10,1,"7,1",70,7,15,Activar Riego,1
3,23,"-5,751486326",5,Mixto,11,8,"44,1",50,19,23,Activar Riego,1
6,67,"-19,49346017",7,Humíferos,6,11,"46,3",70,17,15,Desactivar Riego,0
39,26,"29,10701546",7,Humíferos,8,2,"11,3",70,23,15,Desactivar Riego,0
2,34,"-10,93697979","2,5",Arcillosos,10,13,"32,6",25,24,27,Desactivar Riego,0
24,62,"0,4090368609",5,Mixto,7,4,"14,1",50,7,23,Activar Riego,1
4,26,"-5,892984542",3,Arenoso,9,6,"16,3",30,5,17,Activar Riego,1
37,69,"10,74554102","4,5",Pedregosos,11,12,"59,5",45,2,25,Desactivar Riego,0
24,56,"2,692033294",3,Arenoso,9,4,"10,9",30,16,17,Activar Riego,1
15,9,"11,57550535","4,1",Calizos,6,13,"32,08",41,11,20,Activar Riego,1
25,33,"12,44351962",5,Mixto,13,10,"65,1",50,24,23,Desactivar Riego,0
18,79,"-12,05945303","4,5",Pedregosos,6,3,"8,2",45,11,25,Activar Riego,1
19,37,"4,921521998",5,Mixto,7,2,"7,1",50,15,23,Activar Riego,1
14,77,"-15,29845422","4,1",Calizos,8,8,"26,34",41,3,20,Activar Riego,1
39,41,"23,39952438","4,5",Pedregosos,6,2,"5,5",45,12,25,Activar Riego,1
26,7,"23,33650416","4,1",Calizos,9,2,"7,48",41,0,20,Activar Riego,1
25,38,"10,54102259",7,Humíferos,13,10,"91,1",70,14,15,Desactivar Riego,0
17,16,"10,91200951","4,5",Pedregosos,3,7,"9,55",45,6,25,Activar Riego,1
-2,20,"-9,609988109","4,1",Calizos,6,4,"9,94",41,6,20,Activar Riego,1
-1,62,"-24,59096314",3,Arenoso,5,3,"4,6",30,16,17,Activar Riego,1
20,68,"-5,873959572",5,Mixto,5,9,"22,6",50,23,23,Desactivar Riego,0
-2,17,"-8,468489893","4,5",Pedregosos,8,13,"46,9",45,17,25,Desactivar Riego,0
30,2,"29,23900119",7,Humíferos,6,1,"4,3",70,24,15,Desactivar Riego,0
12,25,"2,487514863","4,1",Calizos,4,7,"11,58",41,9,20,Activar Riego,1
37,29,"25,96551724","4,5",Pedregosos,12,12,"64,9",45,9,25,Desactivar Riego,0
33,76,"4,082045184","4,5",Pedregosos,3,0,"0,1",45,7,25,Activar Riego,1
17,72,"-10,39595719",3,Arenoso,9,14,"37,9",30,4,17,Desactivar Riego,0
32,83,"0,418549346","4,5",Pedregosos,7,4,"12,7",45,20,25,Activar Riego,1
19,50,"-0,02497027348","4,1",Calizos,4,1,"1,74",41,19,20,Activar Riego,1
21,6,"18,71700357",7,Humíferos,0,13,"0,1",70,25,15,Desactivar Riego,0
35,74,"6,843043995","4,5",Pedregosos,1,6,"2,8",45,21,25,Activar Riego,1
25,47,"7,116527943",3,Arenoso,10,13,"39,1",30,22,17,Desactivar Riego,0
29,13,"24,05350773","2,5",Arcillosos,1,5,"1,35",25,25,27,Activar Riego,1
18,57,"-3,688466112","4,5",Pedregosos,4,10,"18,1",45,3,25,Activar Riego,1
18,11,"13,81450654",5,Mixto,0,7,"0,1",50,16,23,Activar Riego,1
