T° Ambiental (°C) BRUTO,Velocidad del viento (KM/H),T° Ambiental (°C),Valor de tipo de suelo,Tipo de Suelo,PH Agua,PH Suelo,Humedad Suelo (%),Humedad Suelo Deseada (%),T° Suelo (°C),T° Suelo Deseada (°C),Análisis,Análisis valor
39,62,"15,40903686","4,5",Pedregosos,14,3,19,45,15,15,Desactivar Riego,0
16,62,"-7,590963139",5,Mixto,9,8,"36,1",50,7,23,Activar Riego,1
24,18,"17,1510107",3,Arenoso,13,10,"39,1",30,8,17,Desactivar Riego,0
2,17,"-4,468489893",7,Humíferos,9,5,"31,6",70,16,15,Desactivar Riego,0
19,30,"7,585017836",7,Humíferos,2,9,"12,7",70,13,15,Activar Riego,1
33,71,"5,984542212","2,5",Arcillosos,2,4,"2,1",25,5,27,Activar Riego,1
22,75,"-6,53745541","2,5",Arcillosos,2,8,"4,1",25,25,27,Activar Riego,1
37,70,"10,36504162","2,5",Arcillosos,10,4,"10,1",25,14,27,Activar Riego,1
26,4,"24,47800238","4,1",Calizos,12,8,"39,46",41,0,20,Activar Riego,1
11,78,"-18,67895363",7,Humíferos,7,1,5,70,8,15,Activar Riego,1
4,45,"-13,12247325",3,Arenoso,1,10,"3,1",30,10,17,Activar Riego,1
12,88,"-21,48394768","4,5",Pedregosos,12,12,"64,9",45,25,25,Desactivar Riego,0
28,75,"-0,5374554102","4,5",Pedregosos,5,12,"27,1",45,11,25,Activar Riego,1
26,33,"13,44351962",7,Humíferos,3,11,"23,2",70,10,15,Activar Riego,1
30,27,"19,72651605","2,5",Arcillosos,10,2,"5,1",25,9,27,Activar Riego,1
-1,21,"-8,990487515",7,Humíferos,2,11,"15,5",70,12,15,Activar Riego,1
40,78,"10,32104637",7,Humíferos,13,3,"27,4",70,8,15,Activar Riego,1
36,52,"16,21403092",7,Humíferos,8,4,"22,5",70,18,15,Desactivar Riego,0
10,84,"-21,96195006","4,1",Calizos,10,13,"53,4",41,21,20,Desactivar Riego,0
0,20,"-7,609988109","2,5",Arcillosos,6,2,"3,1",25,7,27,Activar Riego,1
4,7,"1,336504162","4,5",Pedregosos,6,11,"29,8",45,15,25,Activar Riego,1
22,6,"19,71700357",3,Arenoso,12,14,"50,5",30,2,17,Desactivar Riego,0
19,57,"-2,688466112","2,5",Arcillosos,3,1,"0,85",25,13,27,Activar Riego,1
11,65,"-13,73246136","4,5",Pedregosos,11,9,"44,65",45,14,25,Activar Riego,1
0,71,"-27,01545779",3,Arenoso,2,0,"0,1",30,2,17,Activar Riego,1
8,23,"-0,7514863258",7,Humíferos,5,13,"45,6",70,5,15,Activar Riego,1
33,17,"26,53151011","4,5",Pedregosos,8,2,"7,3",45,23,25,Activar Riego,1
33,88,"-0,4839476813","4,1",Calizos,12,10,"49,3",41,1,20,Desactivar Riego,0
34,4,"32,47800238",7,Humíferos,6,7,"29,5",70,21,15,Desactivar Riego,0
12,16,"5,912009512","4,1",Calizos,1,11,"4,61",41,4,20,Activar Riego,1
0,78,"-29,67895363",7,Humíferos,11,2,"15,5",70,18,15,Desactivar Riego,0
23,69,"-3,254458977","4,1",Calizos,0,8,"0,1",41,23,20,Desactivar Riego,0
2,64,"-22,35196195","4,1",Calizos,13,2,"10,76",41,2,20,Activar Riego,1
31,48,"12,73602854",3,Arenoso,7,3,"6,4",30,15,17,Activar Riego,1
1,84,"-30,96195006",5,Mixto,7,8,"28,1",50,22,23,Activar Riego,1
37,53,"16,83353151","4,1",Calizos,4,13,"21,42",41,24,20,Desactivar Riego,0
26,5,"24,09750297","4,1",Calizos,3,11,"13,63",41,3,20,Activar Riego,1
40,46,"22,49702735","4,1",Calizos,9,9,"33,31",41,18,20,Activar Riego,1
23,55,"2,072532699",3,Arenoso,12,12,"43,3",30,0,17,Desactivar Riego,0
14,37,"-0,07847800238","4,5",Pedregosos,5,13,"29,35",45,10,25,Activar Riego,1
37,10,"33,19500595","4,1",Calizos,0,5,"0,1",41,2,20,Activar Riego,1
33,27,"22,72651605","4,1",Calizos,13,7,"37,41",41,5,20,Activar Riego,1
3,6,"0,7170035672",3,Arenoso,1,7,"2,2",30,4,17,Activar Riego,1
36,1,"35,61950059","2,5",Arcillosos,2,5,"2,6",25,0,27,Activar Riego,1
22,0,22,"4,5",Pedregosos,6,13,"35,2",45,23,25,Activar Riego,1
32,83,"0,418549346","4,5",Pedregosos,10,12,"54,1",45,10,25,Desactivar Riego,0
15,64,"-9,35196195",3,Arenoso,14,9,"37,9",30,7,17,Desactivar Riego,0
25,69,"-1,254458977",5,Mixto,2,0,"0,1",50,14,23,Activar Riego,1
-1,29,"-12,03448276","4,5",Pedregosos,11,9,"44,65",45,22,25,Activar Riego,1
